object_id,lmax,error
3807,16,2.5607675874162736
3807,20,2.2867046408714473
3807,24,2.124576317711015
3807,28,1.935023425659203
3807,32,1.820341467985237
3807,36,1.7331824968730873
9234,4,6.347167224998726
9234,8,4.139149046523186
9234,12,3.1453753786817424
9234,16,2.657454751008587
9234,20,2.382188062903987
9234,24,2.1339234136226586
9234,28,1.9755179403373522
9234,32,1.84202886943404
9234,36,1.740307108248176
5559,4,7.549218778583959
5559,8,4.51377172860309
5559,12,3.453727218935229
5559,16,2.9237358248246115
5559,20,2.580077592816419
5559,24,2.3862633663096555
5559,28,2.1949953859774354
5559,32,2.079558493906966
5559,36,1.9743432910254177
4533,4,6.296070410753423
4533,8,3.9185164506730605
4533,12,3.117088226879478
4533,16,2.738169001796919
4533,20,2.313206633662189
4533,24,2.121021756173996
4533,28,1.9728774272269298
4533,32,1.860196481569004
4533,36,1.761684202401131
5751,4,7.002024992654184
5751,8,4.382186742199647
5751,12,3.4006466550052186
5751,16,2.8502162667895035
5751,20,2.472476070967639
5751,24,2.267784674253156
5751,28,2.162167523163656
5751,32,1.944095683256472
5751,36,1.8650501053722788
6365,4,6.714422628291379
6365,8,4.244357331596664
6365,12,3.2572337651741825
6365,16,2.7296390822800918
6365,20,2.3949947723124407
6365,24,2.2489894295259796
6365,28,2.0434997228652247
6365,32,1.9266015345354315
6365,36,1.805405671241539
6974,4,7.608367743895024
6974,8,4.62122579557643
6974,12,3.4918383088017197
6974,16,2.9481085950716985
6974,20,2.6242547654947685
6974,24,2.3603036415879664
6974,28,2.1714333183024173
6974,32,2.0154725140171625
6974,36,1.90963286724845
247,4,7.230707889713131
247,8,4.488704810974359
247,12,3.4455846876402716
247,16,2.900478721821273
247,20,2.4785095120248206
247,24,2.297994574788404
247,28,2.1686322566678826
247,32,2.04109958552078
247,36,1.9257138682498471
4508,4,8.648289902531122
4508,8,4.9610746877037295
4508,12,3.8391457100784954
4508,16,3.181387555544754
4508,20,2.7970799615055975
4508,24,2.5057691933541535
4508,28,2.3134200260948403
4508,32,2.1427725525018477
4508,36,2.0327032312645503
742,4,6.50902451836321
742,8,4.079710645391304
742,12,3.1157151862048122
742,16,2.6002534849746475
742,20,2.3464209217719625
742,24,2.1797188030145476
742,28,2.027909801663455
742,32,1.860824751232642
742,36,1.7638654365797541
1736,4,8.984131829888325
1736,8,5.169393064164956
1736,12,3.8351043671238627
1736,16,3.2020244747807416
1736,20,2.813148194047786
1736,24,2.56795010068165
1736,28,2.3716597067249396
1736,32,2.215842918144758
1736,36,2.1152848778363964
2534,4,7.3659983695172
2534,8,4.519554417124531
2534,12,3.535406567643927
2534,16,2.9715243472860315
2534,20,2.6515939483259663
2534,24,2.38450058968839
2534,28,2.194963747349496
2534,32,2.0940583483589648
2534,36,1.972447426640407
7403,4,7.389405901350943
7403,8,4.39839508053443
7403,12,3.3728294681188644
7403,16,2.8733590224709395
7403,20,2.561323459843141
7403,24,2.3216659677565494
7403,28,2.1756416156740372
7403,32,2.064447336171847
7403,36,1.9117393574233745
1444,4,8.909178408310611
1444,8,5.68361388947974
1444,12,4.258961140283065
